Search_name,name,lat,lng,address
盒马鲜生(龙岗锦荟店),盒马鲜生(龙岗锦荟店),22.639077,114.184262,锦荟PARK一层
美团专送,美团专送,22.22623,113.521538,珠海市香洲区北山路与北山正街南交叉路口往西约100米(南安亭东北侧约100米)
美团专送,美团专送,22.245604,113.531453,广东省珠海市香洲区粤海西路102号北80米
美团专送,美团专送,22.175495,113.289528,珠海市斗门区新青三路与埔青街交叉路口往北约100米(新堂村瑞生园东南侧)
美团专送,美团专送,22.274755,113.540489,珠海市香洲区人民西路与红宝路交叉路口往西约100米(宝地康泰花园-A区)
美团专送,美团专送,22.360018,113.599463,珠海市香洲区明园路(惠景文园东北侧约50米)
美团专送,美团专送,22.281939,113.518077,珠海市香洲区警安街与旅游路交叉路口往东南约100米(棕榈四季)
美团专送,美团专送,22.281296,113.567301,夏美路一巷35号6栋105
美团专送,美团专送,22.103873,113.186472,珠海市金湾区华丰一巷与美平西路交叉路口西北侧(爱家心座)
美团专送,美团专送,22.265244,113.53136,广东省珠海市香洲区翠前北路63号附近
美团专送(水仙花园店),美团专送(水仙花园店),22.232292,113.511497,南屏环屏路二街与环屏路交叉口东北100米
美团专送,美团专送,23.285623,116.325933,汕头市潮南区中南路(美南公园西侧)
美团专送,美团专送,23.443515,116.759008,汕头市龙湖区汕汾路与外砂迎宾路交叉路口往东北约100米(蓬中华侨学校西北侧)
美团专送,美团专送,23.50314,116.805354,广东省汕头市澄海区大海门三片六路
美团专送,美团专送,23.414775,116.65958,蓬城南街16号
美团专送,美团专送,23.374264,116.709751,品牌一条街41-43号附近
美团外卖美团专送,美团外卖美团专送,23.034956,114.357984,广东省惠州市惠城区和畅五路西9号
美团外卖美团专送,美团外卖美团专送,22.742048,114.483074,惠州市惠阳区龙山八路(新园华府)
美团外卖美团专送,美团外卖美团专送,23.117124,114.431321,菊花一路3号金宝兴业家园北门
美团外卖美团专送,美团外卖美团专送,23.143009,114.13526,惠州市博罗县龙溪商业街与大塘路交叉路口往东北约100米(万润城购物中心西北侧)
美团外卖美团专送,美团外卖美团专送,22.787939,114.456577,惠州市惠阳区上湖西街与上湖西街东巷交叉路口往西约100米(惠阳区金辉中英文幼儿园西北侧)
美团专送,美团专送,23.004243,114.338458,惠州市惠城区古湖路与华盛东街交叉路口往南约50米
美团专送,美团专送,22.787482,114.484159,淡水镇爱民东路三街二号
美团专送,美团专送,22.721576,114.41645,惠州市惠阳区西南大道(潮惠装饰城南侧约50米)
美团专送,美团专送,23.066146,114.427723,惠州市惠城区三环南路与南岸路交叉路口西北侧(苏屋墩)
美团专送,美团专送,23.081247,114.403051,广东省惠州市惠城区花园水中路11-4号附近
美团专送,美团专送,23.121342,114.439819,惠州市惠城区下寮新中路与惠民大道交叉路口往东南约100米
美团专送,美团专送,23.079656,114.410051,广东省惠州市惠城区花园水中路龙丰科肚四号小区西门
美团专送,美团专送,23.122125,114.433507,惠州市惠城区新沥路(天泽名居东南侧)
美团专送,美团专送,23.004243,114.338458,惠州市惠城区古湖路与华盛东街交叉路口往南约50米
美团专送,美团专送,22.787482,114.484159,淡水镇爱民东路三街二号
美团专送,美团专送,22.721576,114.41645,惠州市惠阳区西南大道(潮惠装饰城南侧约50米)
美团专送,美团专送,23.066146,114.427723,惠州市惠城区三环南路与南岸路交叉路口西北侧(苏屋墩)
美团专送,美团专送,23.081247,114.403051,广东省惠州市惠城区花园水中路11-4号附近
美团专送,美团专送,23.121342,114.439819,惠州市惠城区下寮新中路与惠民大道交叉路口往东南约100米
美团专送,美团专送,23.079656,114.410051,广东省惠州市惠城区花园水中路龙丰科肚四号小区西门
美团专送,美团专送,23.122125,114.433507,惠州市惠城区新沥路(天泽名居东南侧)
叮咚买菜,叮咚买菜,22.842388,114.015058,广东省东莞市黄江镇清龙路17号
叮咚买菜,叮咚买菜,22.842388,114.015058,广东省东莞市黄江镇清龙路17号
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
美团专送,美团专送,22.531953,113.343619,广东省中山市青云路49号北60米
美团专送,美团专送,22.718456,113.32075,广东省中山市南头大道东69附近
美团专送,美团专送,22.508619,113.321563,奕豪路与隆都南路交叉口西北50米
美团专送,美团专送,22.619922,113.255402,中山市顷六路与联宜大街交叉路口往东南约50米(泰丰购物中心西侧约100米)
美团专送,美团专送,22.586225,113.226199,中山市珠三角环线高速(远洋启宸南侧约50米)
美团专送,美团专送,22.535862,113.389779,中山市莲塘路与莲员东路交叉路口往东约100米(中山市厚兴郑伟权学校西北侧)
美团专送,美团专送,22.274303,113.478753,广东省中山市嘉惠路三巷21号附近
美团专送,美团专送,22.619349,113.188735,广东省中山市永兴路1号附近
美团配送,美团配送,22.566314,113.351947,广东省中山市金港路19东南80米
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
美团专送,美团专送,22.531953,113.343619,广东省中山市青云路49号北60米
美团专送,美团专送,22.718456,113.32075,广东省中山市南头大道东69附近
美团专送,美团专送,22.508619,113.321563,奕豪路与隆都南路交叉口西北50米
美团专送,美团专送,22.619922,113.255402,中山市顷六路与联宜大街交叉路口往东南约50米(泰丰购物中心西侧约100米)
美团专送,美团专送,22.586225,113.226199,中山市珠三角环线高速(远洋启宸南侧约50米)
美团专送,美团专送,22.535862,113.389779,中山市莲塘路与莲员东路交叉路口往东约100米(中山市厚兴郑伟权学校西北侧)
美团专送,美团专送,22.274303,113.478753,广东省中山市嘉惠路三巷21号附近
美团专送,美团专送,22.619349,113.188735,广东省中山市永兴路1号附近
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
美团专送,美团专送,22.531953,113.343619,广东省中山市青云路49号北60米
美团专送,美团专送,22.718456,113.32075,广东省中山市南头大道东69附近
美团专送,美团专送,22.508619,113.321563,奕豪路与隆都南路交叉口西北50米
美团专送,美团专送,22.619922,113.255402,中山市顷六路与联宜大街交叉路口往东南约50米(泰丰购物中心西侧约100米)
美团专送,美团专送,22.586225,113.226199,中山市珠三角环线高速(远洋启宸南侧约50米)
美团专送,美团专送,22.535862,113.389779,中山市莲塘路与莲员东路交叉路口往东约100米(中山市厚兴郑伟权学校西北侧)
美团专送,美团专送,22.274303,113.478753,广东省中山市嘉惠路三巷21号附近
美团专送,美团专送,22.619349,113.188735,广东省中山市永兴路1号附近
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
美团专送,美团专送,22.531953,113.343619,广东省中山市青云路49号北60米
美团专送,美团专送,22.718456,113.32075,广东省中山市南头大道东69附近
美团专送,美团专送,22.508619,113.321563,奕豪路与隆都南路交叉口西北50米
美团专送,美团专送,22.619922,113.255402,中山市顷六路与联宜大街交叉路口往东南约50米(泰丰购物中心西侧约100米)
美团专送,美团专送,22.586225,113.226199,中山市珠三角环线高速(远洋启宸南侧约50米)
美团专送,美团专送,22.535862,113.389779,中山市莲塘路与莲员东路交叉路口往东约100米(中山市厚兴郑伟权学校西北侧)
美团专送,美团专送,22.274303,113.478753,广东省中山市嘉惠路三巷21号附近
美团专送,美团专送,22.619349,113.188735,广东省中山市永兴路1号附近
美团配送,美团配送,22.566314,113.351947,广东省中山市金港路19东南80米
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
美团专送,美团专送,22.531953,113.343619,广东省中山市青云路49号北60米
美团专送,美团专送,22.718456,113.32075,广东省中山市南头大道东69附近
美团专送,美团专送,22.508619,113.321563,奕豪路与隆都南路交叉口西北50米
美团专送,美团专送,22.619922,113.255402,中山市顷六路与联宜大街交叉路口往东南约50米(泰丰购物中心西侧约100米)
美团专送,美团专送,22.586225,113.226199,中山市珠三角环线高速(远洋启宸南侧约50米)
美团专送,美团专送,22.535862,113.389779,中山市莲塘路与莲员东路交叉路口往东约100米(中山市厚兴郑伟权学校西北侧)
美团专送,美团专送,22.274303,113.478753,广东省中山市嘉惠路三巷21号附近
美团专送,美团专送,22.619349,113.188735,广东省中山市永兴路1号附近
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
美团专送,美团专送,22.531953,113.343619,广东省中山市青云路49号北60米
美团专送,美团专送,22.718456,113.32075,广东省中山市南头大道东69附近
美团专送,美团专送,22.508619,113.321563,奕豪路与隆都南路交叉口西北50米
美团专送,美团专送,22.619922,113.255402,中山市顷六路与联宜大街交叉路口往东南约50米(泰丰购物中心西侧约100米)
美团专送,美团专送,22.586225,113.226199,中山市珠三角环线高速(远洋启宸南侧约50米)
美团专送,美团专送,22.535862,113.389779,中山市莲塘路与莲员东路交叉路口往东约100米(中山市厚兴郑伟权学校西北侧)
美团专送,美团专送,22.274303,113.478753,广东省中山市嘉惠路三巷21号附近
美团专送,美团专送,22.619349,113.188735,广东省中山市永兴路1号附近
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
美团专送,美团专送,22.531953,113.343619,广东省中山市青云路49号北60米
美团专送,美团专送,22.718456,113.32075,广东省中山市南头大道东69附近
美团专送,美团专送,22.508619,113.321563,奕豪路与隆都南路交叉口西北50米
美团专送,美团专送,22.619922,113.255402,中山市顷六路与联宜大街交叉路口往东南约50米(泰丰购物中心西侧约100米)
美团专送,美团专送,22.586225,113.226199,中山市珠三角环线高速(远洋启宸南侧约50米)
美团专送,美团专送,22.535862,113.389779,中山市莲塘路与莲员东路交叉路口往东约100米(中山市厚兴郑伟权学校西北侧)
美团专送,美团专送,22.274303,113.478753,广东省中山市嘉惠路三巷21号附近
美团专送,美团专送,22.619349,113.188735,广东省中山市永兴路1号附近
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
美团专送,美团专送,22.531953,113.343619,广东省中山市青云路49号北60米
美团专送,美团专送,22.718456,113.32075,广东省中山市南头大道东69附近
美团专送,美团专送,22.508619,113.321563,奕豪路与隆都南路交叉口西北50米
美团专送,美团专送,22.619922,113.255402,中山市顷六路与联宜大街交叉路口往东南约50米(泰丰购物中心西侧约100米)
美团专送,美团专送,22.586225,113.226199,中山市珠三角环线高速(远洋启宸南侧约50米)
美团专送,美团专送,22.535862,113.389779,中山市莲塘路与莲员东路交叉路口往东约100米(中山市厚兴郑伟权学校西北侧)
美团专送,美团专送,22.274303,113.478753,广东省中山市嘉惠路三巷21号附近
美团专送,美团专送,22.619349,113.188735,广东省中山市永兴路1号附近
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
美团专送,美团专送,22.531953,113.343619,广东省中山市青云路49号北60米
美团专送,美团专送,22.718456,113.32075,广东省中山市南头大道东69附近
美团专送,美团专送,22.508619,113.321563,奕豪路与隆都南路交叉口西北50米
美团专送,美团专送,22.619922,113.255402,中山市顷六路与联宜大街交叉路口往东南约50米(泰丰购物中心西侧约100米)
美团专送,美团专送,22.586225,113.226199,中山市珠三角环线高速(远洋启宸南侧约50米)
美团专送,美团专送,22.535862,113.389779,中山市莲塘路与莲员东路交叉路口往东约100米(中山市厚兴郑伟权学校西北侧)
美团专送,美团专送,22.274303,113.478753,广东省中山市嘉惠路三巷21号附近
美团专送,美团专送,22.619349,113.188735,广东省中山市永兴路1号附近
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
美团专送,美团专送,22.531953,113.343619,广东省中山市青云路49号北60米
美团专送,美团专送,22.718456,113.32075,广东省中山市南头大道东69附近
美团专送,美团专送,22.508619,113.321563,奕豪路与隆都南路交叉口西北50米
美团专送,美团专送,22.619922,113.255402,中山市顷六路与联宜大街交叉路口往东南约50米(泰丰购物中心西侧约100米)
美团专送,美团专送,22.586225,113.226199,中山市珠三角环线高速(远洋启宸南侧约50米)
美团专送,美团专送,22.535862,113.389779,中山市莲塘路与莲员东路交叉路口往东约100米(中山市厚兴郑伟权学校西北侧)
美团专送,美团专送,22.274303,113.478753,广东省中山市嘉惠路三巷21号附近
美团专送,美团专送,22.619349,113.188735,广东省中山市永兴路1号附近
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
美团专送,美团专送,22.531953,113.343619,广东省中山市青云路49号北60米
美团专送,美团专送,22.718456,113.32075,广东省中山市南头大道东69附近
美团专送,美团专送,22.508619,113.321563,奕豪路与隆都南路交叉口西北50米
美团专送,美团专送,22.619922,113.255402,中山市顷六路与联宜大街交叉路口往东南约50米(泰丰购物中心西侧约100米)
美团专送,美团专送,22.586225,113.226199,中山市珠三角环线高速(远洋启宸南侧约50米)
美团专送,美团专送,22.535862,113.389779,中山市莲塘路与莲员东路交叉路口往东约100米(中山市厚兴郑伟权学校西北侧)
美团专送,美团专送,22.274303,113.478753,广东省中山市嘉惠路三巷21号附近
美团专送,美团专送,22.619349,113.188735,广东省中山市永兴路1号附近
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
美团专送,美团专送,22.531953,113.343619,广东省中山市青云路49号北60米
美团专送,美团专送,22.718456,113.32075,广东省中山市南头大道东69附近
美团专送,美团专送,22.508619,113.321563,奕豪路与隆都南路交叉口西北50米
美团专送,美团专送,22.619922,113.255402,中山市顷六路与联宜大街交叉路口往东南约50米(泰丰购物中心西侧约100米)
美团专送,美团专送,22.586225,113.226199,中山市珠三角环线高速(远洋启宸南侧约50米)
美团专送,美团专送,22.535862,113.389779,中山市莲塘路与莲员东路交叉路口往东约100米(中山市厚兴郑伟权学校西北侧)
美团专送,美团专送,22.274303,113.478753,广东省中山市嘉惠路三巷21号附近
美团专送,美团专送,22.619349,113.188735,广东省中山市永兴路1号附近
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
美团专送,美团专送,22.531953,113.343619,广东省中山市青云路49号北60米
美团专送,美团专送,22.718456,113.32075,广东省中山市南头大道东69附近
美团专送,美团专送,22.508619,113.321563,奕豪路与隆都南路交叉口西北50米
美团专送,美团专送,22.619922,113.255402,中山市顷六路与联宜大街交叉路口往东南约50米(泰丰购物中心西侧约100米)
美团专送,美团专送,22.586225,113.226199,中山市珠三角环线高速(远洋启宸南侧约50米)
美团专送,美团专送,22.535862,113.389779,中山市莲塘路与莲员东路交叉路口往东约100米(中山市厚兴郑伟权学校西北侧)
美团专送,美团专送,22.274303,113.478753,广东省中山市嘉惠路三巷21号附近
美团专送,美团专送,22.619349,113.188735,广东省中山市永兴路1号附近
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
美团专送,美团专送,22.531953,113.343619,广东省中山市青云路49号北60米
美团专送,美团专送,22.718456,113.32075,广东省中山市南头大道东69附近
美团专送,美团专送,22.508619,113.321563,奕豪路与隆都南路交叉口西北50米
美团专送,美团专送,22.619922,113.255402,中山市顷六路与联宜大街交叉路口往东南约50米(泰丰购物中心西侧约100米)
美团专送,美团专送,22.586225,113.226199,中山市珠三角环线高速(远洋启宸南侧约50米)
美团专送,美团专送,22.535862,113.389779,中山市莲塘路与莲员东路交叉路口往东约100米(中山市厚兴郑伟权学校西北侧)
美团专送,美团专送,22.274303,113.478753,广东省中山市嘉惠路三巷21号附近
美团专送,美团专送,22.619349,113.188735,广东省中山市永兴路1号附近
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
美团专送,美团专送,22.531953,113.343619,广东省中山市青云路49号北60米
美团专送,美团专送,22.718456,113.32075,广东省中山市南头大道东69附近
美团专送,美团专送,22.508619,113.321563,奕豪路与隆都南路交叉口西北50米
美团专送,美团专送,22.619922,113.255402,中山市顷六路与联宜大街交叉路口往东南约50米(泰丰购物中心西侧约100米)
美团专送,美团专送,22.586225,113.226199,中山市珠三角环线高速(远洋启宸南侧约50米)
美团专送,美团专送,22.535862,113.389779,中山市莲塘路与莲员东路交叉路口往东约100米(中山市厚兴郑伟权学校西北侧)
美团专送,美团专送,22.274303,113.478753,广东省中山市嘉惠路三巷21号附近
美团专送,美团专送,22.619349,113.188735,广东省中山市永兴路1号附近
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
美团专送,美团专送,22.531953,113.343619,广东省中山市青云路49号北60米
美团专送,美团专送,22.718456,113.32075,广东省中山市南头大道东69附近
美团专送,美团专送,22.508619,113.321563,奕豪路与隆都南路交叉口西北50米
美团专送,美团专送,22.619922,113.255402,中山市顷六路与联宜大街交叉路口往东南约50米(泰丰购物中心西侧约100米)
美团专送,美团专送,22.586225,113.226199,中山市珠三角环线高速(远洋启宸南侧约50米)
美团专送,美团专送,22.535862,113.389779,中山市莲塘路与莲员东路交叉路口往东约100米(中山市厚兴郑伟权学校西北侧)
美团专送,美团专送,22.274303,113.478753,广东省中山市嘉惠路三巷21号附近
美团专送,美团专送,22.619349,113.188735,广东省中山市永兴路1号附近
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
美团专送,美团专送,22.531953,113.343619,广东省中山市青云路49号北60米
美团专送,美团专送,22.718456,113.32075,广东省中山市南头大道东69附近
美团专送,美团专送,22.508619,113.321563,奕豪路与隆都南路交叉口西北50米
美团专送,美团专送,22.619922,113.255402,中山市顷六路与联宜大街交叉路口往东南约50米(泰丰购物中心西侧约100米)
美团专送,美团专送,22.586225,113.226199,中山市珠三角环线高速(远洋启宸南侧约50米)
美团专送,美团专送,22.535862,113.389779,中山市莲塘路与莲员东路交叉路口往东约100米(中山市厚兴郑伟权学校西北侧)
美团专送,美团专送,22.274303,113.478753,广东省中山市嘉惠路三巷21号附近
美团专送,美团专送,22.619349,113.188735,广东省中山市永兴路1号附近
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
美团专送,美团专送,22.531953,113.343619,广东省中山市青云路49号北60米
美团专送,美团专送,22.718456,113.32075,广东省中山市南头大道东69附近
美团专送,美团专送,22.508619,113.321563,奕豪路与隆都南路交叉口西北50米
美团专送,美团专送,22.619922,113.255402,中山市顷六路与联宜大街交叉路口往东南约50米(泰丰购物中心西侧约100米)
美团专送,美团专送,22.586225,113.226199,中山市珠三角环线高速(远洋启宸南侧约50米)
美团专送,美团专送,22.535862,113.389779,中山市莲塘路与莲员东路交叉路口往东约100米(中山市厚兴郑伟权学校西北侧)
美团专送,美团专送,22.274303,113.478753,广东省中山市嘉惠路三巷21号附近
美团专送,美团专送,22.619349,113.188735,广东省中山市永兴路1号附近
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
美团专送,美团专送,22.531953,113.343619,广东省中山市青云路49号北60米
美团专送,美团专送,22.718456,113.32075,广东省中山市南头大道东69附近
美团专送,美团专送,22.508619,113.321563,奕豪路与隆都南路交叉口西北50米
美团专送,美团专送,22.619922,113.255402,中山市顷六路与联宜大街交叉路口往东南约50米(泰丰购物中心西侧约100米)
美团专送,美团专送,22.586225,113.226199,中山市珠三角环线高速(远洋启宸南侧约50米)
美团专送,美团专送,22.535862,113.389779,中山市莲塘路与莲员东路交叉路口往东约100米(中山市厚兴郑伟权学校西北侧)
美团专送,美团专送,22.274303,113.478753,广东省中山市嘉惠路三巷21号附近
美团专送,美团专送,22.619349,113.188735,广东省中山市永兴路1号附近
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
美团专送,美团专送,22.531953,113.343619,广东省中山市青云路49号北60米
美团专送,美团专送,22.718456,113.32075,广东省中山市南头大道东69附近
美团专送,美团专送,22.508619,113.321563,奕豪路与隆都南路交叉口西北50米
美团专送,美团专送,22.619922,113.255402,中山市顷六路与联宜大街交叉路口往东南约50米(泰丰购物中心西侧约100米)
美团专送,美团专送,22.586225,113.226199,中山市珠三角环线高速(远洋启宸南侧约50米)
美团专送,美团专送,22.535862,113.389779,中山市莲塘路与莲员东路交叉路口往东约100米(中山市厚兴郑伟权学校西北侧)
美团专送,美团专送,22.274303,113.478753,广东省中山市嘉惠路三巷21号附近
美团专送,美团专送,22.619349,113.188735,广东省中山市永兴路1号附近
美团专送,美团专送,22.674559,113.235579,广东省中山市拱桥路41号附近
